name,price,sex,jewel_type,brand,material,color,jewel_weight,rocks,rock_details,dimensions,chain_carat,chain_length,diameter
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver / Pearl,75,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver / Pearl,109,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver / Pearl,99,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver,69,Women,Necklaces,Gloria Hope,Silver,White,,,,,,,
Κολιέ δάκρυ Gloria Hope Silver,69,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,Length: 6cm,,,
Σκουλαρίκια Gloria Hope Silver,169,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Βραχιόλι Gloria Hope Silver,89,Women,Bracelet,Gloria Hope,Metal Alloy,White,,,,,,,
Δαχτυλίδι με σμαράγδι,1650,Women,Ring,Haritidis,Gold 18ct.,White,3.8,"Diamond, Emerald",Recrystallized Emerald 2.93ct & Diamond 0.56ct,,,,
Μονόπετρο Δαχτυλίδι,1200,Women,Ring,Haritidis,Gold 18ct.,Gold,2.4,Diamond,Kent.Dress 0.11ct & Other Diamonds 0.26ct,,,,
Δαχτυλίδι μισόβερο,1180,Women,Ring,Haritidis,Gold 18ct.,White,2.0,Diamond,Diamonds 0.45ct,,,,
Δαχτυλίδι μισόβερο,980,Women,Ring,Haritidis,Gold 18ct.,White,2.3,Diamond,Diamonds 0.24ct,,,,
Δαχτυλίδι μισόβερο,1850,Women,Ring,Haritidis,Gold 18ct.,White,2.8,Diamond,Diamonds 0.66ct,,,,
Δαχτυλίδι μισόβερο,2200,Women,Ring,Haritidis,Gold 18ct.,White,3.9,Diamond,Diamonds 0.80ct,,,,
Μονόπετρο Δαχτυλίδι,1050,Women,Ring,Haritidis,Gold 18ct.,White,2.9,Diamond,Diamond 0.20ct,,,,
Μονόπετρο Δαχτυλίδι,1030,Women,Ring,Haritidis,Gold 18ct.,White,2.6,Diamond,Diamond 0.34ct,,,,
Δαχτυλίδι με τοπάζι,640,Women,Ring,Haritidis,Gold 18ct.,White,1.7000000000000002,"Diamond, Topaz",Topaz 0.76ct & Diamond 0.14ct,,,,
Δαχτυλίδι με σμαράγδι,800,Women,Ring,Haritidis,Gold 18ct.,Gold,2.5,"Diamond, Emerald",Emerald 0.39ct & Diamond 0.13ct,,,,
Δαχτυλίδι με σμαράγδι,700,Women,Ring,Haritidis,Gold 18ct.,Gold,1.6,"Diamond, Emerald",Emerald 0.19ct & Diamond 0.11ct,,,,
Δαχτυλίδι με σμαράγδι,2000,Women,Ring,Haritidis,Gold 18ct.,Gold,3.0,"Diamond, Emerald",Emerald 1.04ct & Diamond 0.43ct,,,,
Δαχτυλίδι με ζαφείρι,950,Women,Ring,Haritidis,Gold 18ct.,White,1.8,"Diamond, Sapphire",Sapphire 0.85ct & Diamonds 0.14ct,,,,
Δαχτυλίδι με λευκό τοπάζι,1000,Women,Ring,Haritidis,Gold 18ct.,White,3.0,"Diamond, Topaz",White Topaz 1.36ct & Diamond 0.21ct,,,,
Δαχτυλίδι με ζαφείρι,1350,Women,Ring,Haritidis,Gold 18ct.,White,3.3,"Diamond, Sapphire",Sapphire 1.03ct & Diamond 0.13ct,,,,
Δαχτυλίδι μισόβερο,1340,Women,Ring,Haritidis,Gold 18ct.,Gold,2.8,Diamond,Diamonds 0.48ct,,,,
Σκουλαρίκια δάκρυ Gloria Hope Silver / Pearl,69,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Σκουλαρίκια δάκρυ Gloria Hope Silver,99,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Σκουλαρίκια Gloria Hope Silver,69,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver,139,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σκουλαρίκια δάκρυ Gloria Hope Silver,115,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver,109,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver,115,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver,109,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σκουλαρίκια Gloria Hope Silver,59,Women,Earrings,Gloria Hope,Metal Alloy,White,,,,,,,
Κολιέ δάκρυ Gloria Hope Silver,79,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Σετ Κολιέ & Σκουλαρίκια Gloria Hope Silver / Pearl,79,Women,Necklaces,Gloria Hope,Metal Alloy,White,,,,,,,
Κολιέ δάκρυ Gloria Hope Rose Gold,100,Women,Necklaces,Gloria Hope,Metal Alloy,Rose,,,,,,,
Βραχιόλι Tommy Hilfiger,69,Men,Bracelet,Tommy Hilfiger,Stainless Steel,,,,,,,,
Βραχιόλι Tommy Hilfiger,49,Unisex,Bracelet,Tommy Hilfiger,Stainless Steel,White,,,,,,,
Μανικετόκουμπα Tommy Hilfiger,49,Men,Cuff links,Tommy Hilfiger,Stainless Steel,,,,,,,,
Μανικετόκουμπα Tommy Hilfiger,59,Men,Cuff links,Tommy Hilfiger,Stainless Steel,Gold,,,,,,,
Σκουλαρίκια Tommy Hilfiger,69,Women,Earrings,Tommy Hilfiger,Stainless Steel,Gold,,,,,,,
Σκουλαρίκια Κρίκοι PDPAOLA Medium Cloud Gold,59,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,14.0
Σκουλαρίκια Κρίκοι PDPAOLA Mini Cloud Gold,55,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,14.0
Σκουλαρίκια PDPAOLA Musketeer Gold,51,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,
Σκουλαρίκια Κρίκοι PDPAOLA Supreme Cloud Gold,65,Women,Earrings,PDPAOLA,Silver,Gold,,,,,,,25.0
Σκουλαρίκια με διαμάντια,1340,Women,Earrings,Haritidis,Gold 18ct.,Gold,2.2,Diamond,Diamond central 0.20ct & Diamondα 0.22ct,,,,7.0
Κολιέ με σμαράγδι,1140,Women,Necklaces,Haritidis,Gold 18ct.,White,2.3,"Diamond, Emerald",Emerald 0.53ct & Diamond 0.27ct,11.1 x 9.6 mm,18.0,40.0,
Κολιέ με ζαφείρι,1090,Women,Necklaces,Haritidis,Gold 18ct.,White,2.5,"Diamond, Sapphire",Sapphire 0.21ct & Diamond 0.31ct,12.3 x 9.3 mm,18.0,45.0,
Κολιέ με ζαφείρι,1890,Women,Necklaces,Haritidis,Gold 18ct.,White,2.2,"Diamond, Sapphire",Sapphire 1.02ct & Diamond 0.49ct,12 x 10.2 mm,18.0,45.0,
Κολιέ με τοπάζι,920,Women,Necklaces,Haritidis,Gold 18ct.,White,2.6,"Diamond, Topaz",White Topaz 1.24ct & Diamonds 0.26ct,12 x 9.8 mm,18.0,45.0,
Κολιέ με διαμάντια,840,Women,Necklaces,Haritidis,Gold 18ct.,Gold,2.0,Diamond,Central Diamond 0.10ct & Rest Diamondα 0.11ct,,18.0,40.0,8.0
Κολιέ με τοπάζι,780,Women,Necklaces,Haritidis,Gold 18ct.,White,2.4,"Diamond, Topaz",London Blue Topaz 2.01ct & Diamonds 0.13ct,10.5 x 8.3 mm,18.0,40.0,
Σκουλαρίκια με μπλε τοπάζι,1190,Women,Earrings,Haritidis,Gold 18ct.,White,3.0,"Diamond, Blue Topaz",London Blue Topaz 3.76ct & Diamond 0.25ct,10.4 x 8.4 mm,,,
Σκουλαρίκια με τοπάζι,1790,Women,Earrings,Haritidis,Gold 18ct.,White,5.1,"Diamond, Topaz",White Topaz 2.43ct & Diamonds 0.46ct,11.8 x 9.8 mm,,,
Σκουλαρίκια με ζαφείρι,1750,Women,Earrings,Haritidis,Gold 18ct.,White,2.9,"Diamond, Sapphire",Sapphire 0.53ct & Diamonds 0.47ct,12.2 x 9.3 mm,,,
Δαχτυλίδι με σμαράγδι,1150,Women,Ring,Haritidis,Gold 18ct.,White,2.6,"Diamond, Emerald",Emerald 0.47ct & Diamond 0.27ct,,,,
Δαχτυλίδι με τανζανίτη,730,Women,Ring,Haritidis,Gold 18ct.,White,2.4,"Diamond, tanzanite",Tanzanite 0.39ct & Diamond 0.13ct,,,,
Δαχτυλίδι με τοπάζι,900,Women,Ring,Haritidis,Gold 18ct.,White,2.4,"Diamond, Topaz",London Blue Topaz 2.17ct & Diamond 0.20ct,,,,
Δαχτυλίδι με μοργκανίτη,1500,Women,Ring,Haritidis,Gold 18ct.,Rose,3.5,"Diamond, Morganite",Moronganic 1.94ct & Diamond 0.27ct,,,,
Δαχτυλίδι με ζαφείρι,1250,Women,Ring,Haritidis,Gold 18ct.,White,3.0,"Diamond, Sapphire",Sapphire 0.53ct & Diamond 0.22ct,,,,
Δαχτυλίδι μισόβερο,750,Women,Ring,Haritidis,Gold 18ct.,Gold,1.8,Diamond,Diamonds 0.23ct,,,,
Κολιέ σταυρός,115,Women,Necklaces,Haritidis,Gold 14ct.,Gold,1.1,,,3.8 x 3.8 mm,,38.0,
Κωνσταντινάτο,85,Children,Religious jewels,Haritidis,Gold 14ct.,Gold,0.8,,,,,,19.0
